Term,Example Sentence
Endoscopia,"lt;ref name=&quot;intro HGray2&quot; /&gt; Os métodos usados incluem a dissecação, na qual um corpo é aberto e seus órgãos estudados, e a endoscopia, na qual um instrumento equipado com uma câmera de vídeo é inserido através de uma pequena incisão na parede do corpo e usado para explorar os órgãos internos e outras estruturas."
Enema,"Não é recomendado fazer força durante a primeira fase ou durante a passagem da cabeça, nem a utilização de enemas."
Enterocolite,"Charles Bouchard, sumidade médica, que lhe diagnostica uma enterocolite e lhe recomenda repouso e cuidados."
Enxaqueca,"João VI]] tivesse trazido alguns bons médicos para o Rio de Janeiro, era do &quot;tipo caseiro&quot;: rodelinhas de limão nas frontes para enxaquecas, suadouros de sabugueiro e quina, para as febres: cataplasmas contra a asma: antipirina para as dores de cabeça; banhos de malva para as dores nas cadeiras; um &quot;cordial&quot; contra a insônia e, para os loucos, o Hospício, na Praia Vermelha."
Enzima,"Como subprodutos da industrialização do abacaxi, obtêm-se álcool, ácido cítrico (citrato), ácido málico, ácido ascórbico (vitamina C), bromelina (enzima proteolítica que entra na composição de diversos medicamentos) e rações para animais; do restante da planta, são aproveitados, industrialmente, as fibras e o amido."
Eosinofilia,"Um aumento de eosinófilos, isto é, a presença de mais de 500 eosinófilos/microlitro de sangue é chamado de eosinofilia, e é geralmente visto em pessoas com uma infestação parasitária no intestino, doença do colágeno (como a artrite reumatóide), doenças malignas tais como a doença de Hodgkin, doenças de pele extensas (como dermatite esfoliativa), doença de Addison, no epitélio escamoso do esôfago, no caso de esofagite de refluxo, a esofagite eosinofílica, e com o uso de certas drogas como a penicilina."
Epicondilite,"Numa época em que não havia o ''tie-brake'', ela jogou por mais de dez horas seguidas em partidas de duplas e duplas mistas de Wimbledon, que lhe provocou uma epicondilite, inflamação no tendão do cotovelo, conhecida como ''cotovelo de tenista''."
Epidemia,"Cerca de 700 mil moradias foram destruídas, 3/4 das criações de animais pereceram, metade da frota pesqueira afundou, um milhão de acres de terras cultivadas foram salgadas por uma maré de tempestade de 3,5 metros que acompanhou o ciclone, os mananciais de água doce foram salgados e contaminados, e os sobreviventes sofreram com epidemias de febre tifoide, cólera, disenteria e outras doenças, além de fome, sede e falta de assistência médica e abrigo."
Epididimite,"lt;ref name=CDC2014/&gt; Em mulheres, a complicação mais frequente é a Doença inflamatória pélvica enquanto em homens é a inflamação do epidídimo."
Epífise,"Após a epífise, metáfise encontra-se a '''diáfise''' que é a parte do osso que tem crescimento primário, ou seja, cresce longitudinalmente, alongando-se."
Epiglotite,"sfnm|Chernow|2010|1pp=806–10|2a1=Felisati|2a2=Sperati|2y=2005|2pp=55–58}} Vários autores médicos modernos especularam que Washington morreu vitimado por um caso grave de epiglotite complicada pelos tratamentos administrados, mais notavelmente a perda maciça de sangue que quase certamente causou choque hipovolêmico."
Epilepsia,"origens neurofisiológicas, como epilepsia do lobo temporal."
Episiotomia,"gov/books/NBK326674/|acessodata=31 de julho de 2016|língua=en}} Embora seja comum a realização de uma pequena incisão na abertura da vagina, denominada episiotomia, geralmente não é necessária."
Equimose,"Tem também sido proposta a sua utilização no tratamento de insuficiência venosa crónica, vulnerabilidade às equimoses, gota, hemorróidas, dores menstruais, doenças autoimunes e colites ulcerosas."
Equipamento de endoscopia,NA
Equipamento de laparoscopia,NA
Eritema,"Inflamação - Termo utilizado para referir-se à série de eventos que acompanham uma resposta imune e apresentam diversas características, incluindo edema local, eritema (devido à dilatação capilar), dor e calor."
Eructação,"Mas essa inferência é um conceito popular infundado, já que os gases que formam o flato são produzidos no intestino, e os da eructação, pelo estômago."
Escabiose,"lt;/ref&gt; , e parasitas cutâneos, como ''Sarcoptes scabiei'', o causador da sarna humana (escabiose)."
Esclerodermia,"Porém, no mesmo ano Klee começou a sofrer sintomas do que foi diagnosticado após sua morte como esclerodermia."
Esclerose,"Todos os anos é realizada a Natação de Amsterdã, um evento que promove a arrecadação de fundos para a pesquisa e o combate contra a esclerose lateral amiotrófica."
Escova cirúrgica,NA
Esfigmomanômetro,"A bioengenharia estuda e desenvolve instrumentos essenciais à manutenção da vida como esfigmomanômetros, hemodiálise, bombas infusoras ou bomba de infusão, bombas de sangue, pulmões artificiais (ventiladores)'', desfibriladores, incubadoras neonatais, etc."
Esfíncter,"Os olhos não têm pálpebras, mas podem fechar-se por um mecanismo que funciona como um esfíncter."
Espasmo,Essas contrações são suspeitas de dismotilidade esofágica e se apresentam na ingestão de bário como um &quot;espasmo esofágico&quot;.
Espátula de Ayre,NA
Espectrofotometria,"No estudo da Bioquímica diversos são os instrumentais de análise, em especial instrumentos e técnicas químicas, bioquímicas e biofísicas, tais como eletroforese, cromatografia (em especial HPLC/CLAE e gasosa), espectrofotometria, reação em cadeia da polimerase (PCR), plasmídeos e tecnologia do DNA recombinante (engenharia genética),ensaios enzimáticos,   espectrometria de massas, ressonância magnética nuclear, ensaios de fluorescência (espectroscopia de fluorescência por exemplo), calorimetria de titulação isotérmica (ITC), biorreatores, ensaios de ligação de biomoléculas (Western Blot, ELISA), dicroísmo circular, PCR quantitativo, bioinformática, Sohxlet, destilação, centrifugação, Kjeldalhl, Demanda química de oxigênio (DQO), meios de cultura, entre outros que podem ser vistas nesta listagem: técnicas de laboratório."
Espéculo,"In: ''Espéculo — Revista de estudios literarios'', 2009; XIV (42) Em muitos pontos de sua lírica também foi detectada a influência da poesia espanhola de Garcilaso de la Vega, Jorge de Montemor, Juan Boscán, Gregorio Silvestre e vários outros nomes, conforme apontou seu comentador Faria e Sousa."
Espelho bucal,Um '''espelho bucal''' ou '''espelho de dentista''' é um instrumento muito utilizado por cirurgiões-dentistas ou médicos dentistas.
Esplenectomia,"Tem uma importante função imunológica de produção de anticorpos e proliferação de linfócitos ativados, protegendo contra infecções, e a esplenectomia (cirurgia de retirada do baço) determina uma capacidade reduzida na defesa contra alguns tipos de infecção."
Espondilite,lt;ref name=Old2015 /&gt; Outra análise recente indica espondilite piogênica ou meningite.
essuscitação cardiopulmonar,NA
Estabilização,"Em 2012, a Argentina foi eleita novamente para um cargo não permanente de dois anos no Conselho de Segurança das Nações Unidas e participa de grandes operações de manutenção da paz no Haiti, Chipre, Saara Ocidental e Oriente Médio."
Estadiamento,"No entanto, o estadiamento clínico dos pacientes não era um destino para esses sistemas, pois eles não são sensíveis nem específicos."
Estenose,"A doença arterial coronária é causada por aterosclerose, a acumulação de placas de material degenerativo nas paredes interiores das artérias que provoca o seu estreitamento e diminui o fluxo sanguíneo para o coração."
Esterilidade,"A mudança do nome de Sarai para Sara é explicada na Bíblia com a promessa do nascimento de um filho, pondo fim à sua esterilidade."
Estetoscópio,"Numa de suas dependências, um pequeno museu mostra, por exemplo, o primeiro estetoscópio chegado ao Brasil."
Estimulador elétrico nervoso transcutâneo (TENS),NA
Estímulo,"Sfn|Musto|2014|p=31-32}} O segundo congresso, ocorrido em Lausanne no ano de 1867, foi marcado pela forte presença dos mutualistas, que deliberaram o estímulo às cooperativas de crédito e de produção, nas quais se deveria fazer penetrar o espírito mutualista e federalista."
Estiramento,"No caso de o bolo ficar preso ou se mover mais devagar do que a onda peristáltica primária (como pode acontecer quando está mal lubrificado), os receptores de estiramento no revestimento esofágico são estimulados e uma resposta reflexa local causa uma '''onda peristáltica secundária''' ao redor do bolo, forçando desce mais para o esôfago e essas ondas secundárias continuam indefinidamente até que o bolo alimentar entre no estômago."
Estômago,"HarvRef|Chrispeels|1994|p=25–57}} Os sistemas de produção mistos utilizam pastagens, culturas forrageiras e culturas de cereais como ração para gado ruminante e monogástrico (um estômago; principalmente galinhas e porcos)."
Estomatite,"Johnson|primeiro=Larry}} À medida que a doença evolui, o paciente pode ter sinais e sintomas gerais de anemia como cansaço fácil, fraqueza, irritabilidade, indisposição, sonolência, cefaleia, dor nas pernas e apresentar glossite indolor, estomatite angular, unhas friáveis ou em colher (coiloníquia), cabelos finos, secos e quebradiços, pele seca, esclerótica azulada, mucosas descoradas, disfagia como resultado de membranas faríngeas (Síndrome de Paterson-Kelly ou Plummer-Vinson) e perversão do apetite."
Estomatologia,"Ainda no segundo ano, os alunos começam atendimentos em clínica de estomatologia, odontologia preventiva e estomatologia."
Estrabismo,"Livingstone, professora de neurobiologia na Harvard Medical School, sugere que Rembrandt, que era estrábico, sofria de alteração na estereopsia,''The New England Journal of Medicine'', 16 September 2004 uma impossibilidade ou dificuldade de enxergar tridimensionalmente."
Estresse,"Cartan foi influenciado pelo trabalho dos irmãos Cosserat (1909), que consideravam, além de um (assimétrico) tensor força de estresse, também um tensor momento de estresse em um meio contínuo adequadamente generalizado."
Estrongiloidíase,"au}} Um exemplo disto é ''Strongyloides stercoralis'', causador de estrongiloidíase em humanos."
Estrutura,svg|direita|thumb|Estrutura dos braços espirais da Via Láctea.
Estudo duplo-cego,PBPE|Estudo duplo-cego|ensaio clínico em dupla ocultação}} é um método de ensaio clínico realizado em '''seres humanos''' em que nem o examinado (objeto de estudo) nem o examinador sabem o que está sendo utilizado como variável em um dado momento.
Estupor,Apatia]] e inércia geral.
Esvaziamento,"Disto, decorreu o esvaziamento da Vila Operária."
Eutanásia,"sfn|Kershaw|1999|pp=567–568}} As políticas de eugenia de Hitler miravam crianças com deficiências ou que tinham problemas de desenvolvimento em geral em um programa chamado de ''Kinder-Euthanasie,'' e depois ele autorizou um programa de eutanásia para adultos com sérios problemas mentais e deficiências físicas, no que ficou conhecido como ''Aktion'' T4."
Evacuação,"Quando não havia mais como defender a vila, o Capitão Sabino simulou haver aderido à revolta, mas disparou um canhão, causando pânico entre os balaios, resultando na evacuação da vila."
Evasão,"Para acompanhar o desenvolvimento da região sudeste da colônia, e impedir a evasão fiscal e o contrabando de ouro, Portugal transferiu a capital do Estado do Brasil para o Rio de Janeiro."
Eventração,NA
